line_number,keep,technique,angle,technique_key,angle_key,record_reference_key,target_technique_key,url,title,segment_start_s,segment_end_s,command
24,yes,jab,lead_side_3_beginner_footwork_drills_frx41u,jab,lead_side_3_beginner_footwork_drills_frx41u,jab__lead_side_3_beginner_footwork_drills_frx41u,jab,https://www.youtube.com/watch?v=frX41U80vLU,3 Beginner Boxing Footwork Drills 👊🏼,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=frX41U80vLU"" --record-reference ""jab__lead_side_3_beginner_footwork_drills_frx41u"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
25,yes,jab,front_right_wrong_techniques_cg1oqb,jab,front_right_wrong_techniques_cg1oqb,jab__front_right_wrong_techniques_cg1oqb,jab,https://www.youtube.com/watch?v=CG1oqBm2Yjw,“Right and Wrong” Boxing Techniques,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=CG1oqBm2Yjw"" --record-reference ""jab__front_right_wrong_techniques_cg1oqb"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
26,yes,jab,front_work_cross_like_deontay_0j46ii,jab,front_work_cross_like_deontay_0j46ii,jab__front_work_cross_like_deontay_0j46ii,jab,https://www.youtube.com/watch?v=0j46IiKNUMs,Work your JAB-CROSS like Deontay Wilder… 🥊,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=0j46IiKNUMs"" --record-reference ""jab__front_work_cross_like_deontay_0j46ii"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
27,yes,jab,front_learn_deadly_combo_zrbl7i,jab,front_learn_deadly_combo_zrbl7i,jab__front_learn_deadly_combo_zrbl7i,jab,https://www.youtube.com/watch?v=zRBL7ISpYGk,Learn This Deadly Boxing Combo🥊💥,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=zRBL7ISpYGk"" --record-reference ""jab__front_learn_deadly_combo_zrbl7i"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
28,yes,jab,lead_side_is_not_push_front_f_wtoq,jab,lead_side_is_not_push_front_f_wtoq,jab__lead_side_is_not_push_front_f_wtoq,jab,https://www.youtube.com/watch?v=f-wTOQw5oi4,The Jab Is Not A Push To The Front Leg. It’s a turn of the CORE and a DROP OF THE HIP. #boxing #jab,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=f-wTOQw5oi4"" --record-reference ""jab__lead_side_is_not_push_front_f_wtoq"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
29,yes,jab,front_realest_guide_throwing_kicks_k8ld_4,jab,front_realest_guide_throwing_kicks_k8ld_4,jab__front_realest_guide_throwing_kicks_k8ld_4,jab,https://www.youtube.com/watch?v=K8lD-48xhWI,The REALEST guide to throwing kicks #muaythai #mma #fighting,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=K8lD-48xhWI"" --record-reference ""jab__front_realest_guide_throwing_kicks_k8ld_4"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
30,yes,jab,front_bruce_lee_demonstrating_kung_qkbv8g,jab,front_bruce_lee_demonstrating_kung_qkbv8g,jab__front_bruce_lee_demonstrating_kung_qkbv8g,jab,https://www.youtube.com/watch?v=qkbV8GRnsZ0,Bruce Lee demonstrating Kung Fu strikes 🥋,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=qkbV8GRnsZ0"" --record-reference ""jab__front_bruce_lee_demonstrating_kung_qkbv8g"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
32,yes,jab,front_throw_hooks_effectively_8uoeuh,jab,front_throw_hooks_effectively_8uoeuh,jab__front_throw_hooks_effectively_8uoeuh,jab,https://www.youtube.com/watch?v=8UOeuH7v8_g,HOW TO THROW HOOKS EFFECTIVELY!,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=8UOeuH7v8_g"" --record-reference ""jab__front_throw_hooks_effectively_8uoeuh"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
35,yes,jab,front_punch_really_hard_fight_a1z_ht,jab,front_punch_really_hard_fight_a1z_ht,jab__front_punch_really_hard_fight_a1z_ht,jab,https://www.youtube.com/watch?v=A1z-HTSNHJE,How to Punch Really Hard in a Boxing Fight,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=A1z-HTSNHJE"" --record-reference ""jab__front_punch_really_hard_fight_a1z_ht"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
36,yes,jab,front_pull_don_39_t_nq49zw,jab,front_pull_don_39_t_nq49zw,jab__front_pull_don_39_t_nq49zw,jab,https://www.youtube.com/watch?v=nq49Zw4pE1Y,How to Jab! Pull don&#39;t Push #boxingtraining #boxingdrills #boxingshorts #boxing,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=nq49Zw4pE1Y"" --record-reference ""jab__front_pull_don_39_t_nq49zw"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
41,yes,jab,front_6_basic_punches_everyone_saehfu,jab,front_6_basic_punches_everyone_saehfu,jab__front_6_basic_punches_everyone_saehfu,jab,https://www.youtube.com/watch?v=saEhfu_h3N8,The 6 Basic Punches That Everyone Needs To Know 👊,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=saEhfu_h3N8"" --record-reference ""jab__front_6_basic_punches_everyone_saehfu"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
42,yes,jab,front_inside_slip_boxeo_boxingtraining_k0ucfl,jab,front_inside_slip_boxeo_boxingtraining_k0ucfl,jab__front_inside_slip_boxeo_boxingtraining_k0ucfl,jab,https://www.youtube.com/watch?v=k0UCflEVhB4,The inside slip 🔥😮‍💨 #boxing #tutorial #boxeo #boxingtraining #boxers #amateurboxing #viral,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=k0UCflEVhB4"" --record-reference ""jab__front_inside_slip_boxeo_boxingtraining_k0ucfl"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
46,yes,jab,front_1_tip_will_improve_hsco5v,jab,front_1_tip_will_improve_hsco5v,jab__front_1_tip_will_improve_hsco5v,jab,https://www.youtube.com/watch?v=HSCo5VZKHgY,This #1 tip will improve your Jab ! ❗️,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=HSCo5VZKHgY"" --record-reference ""jab__front_1_tip_will_improve_hsco5v"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
47,yes,jab,front_canelo_s_punch_ioq09,jab,front_canelo_s_punch_ioq09,jab__front_canelo_s_punch_ioq09,jab,https://www.youtube.com/watch?v=IOQ09-FhFVU,Canelo’s Perfect Punch,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=IOQ09-FhFVU"" --record-reference ""jab__front_canelo_s_punch_ioq09"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
48,yes,jab,front_basic_combo_1_2_yz0d2q,jab,front_basic_combo_1_2_yz0d2q,jab__front_basic_combo_1_2_yz0d2q,jab,https://www.youtube.com/watch?v=yZ0D2Qp8hX0,Basic boxing combo 1-2-3 roll RH-3-2-roll LH-2-3 #boxingtips #boxing,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=yZ0D2Qp8hX0"" --record-reference ""jab__front_basic_combo_1_2_yz0d2q"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
49,yes,jab,front_master_like_pro_boxer_swtr_w,jab,front_master_like_pro_boxer_swtr_w,jab__front_master_like_pro_boxer_swtr_w,jab,https://www.youtube.com/watch?v=SwTR-wVHZ1c,How to Master the Jab Like a Pro Boxer!,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=SwTR-wVHZ1c"" --record-reference ""jab__front_master_like_pro_boxer_swtr_w"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
50,yes,jab,front_throw_punch_fight_qmxn1b,jab,front_throw_punch_fight_qmxn1b,jab__front_throw_punch_fight_qmxn1b,jab,https://www.youtube.com/watch?v=QMxN1BSbTJU,How to Throw a Punch in a Fight,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=QMxN1BSbTJU"" --record-reference ""jab__front_throw_punch_fight_qmxn1b"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
54,yes,jab,front_shadow_box_rdi5rx,jab,front_shadow_box_rdi5rx,jab__front_shadow_box_rdi5rx,jab,https://www.youtube.com/watch?v=rdi5rX_rd58,How to Shadow Box,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=rdi5rX_rd58"" --record-reference ""jab__front_shadow_box_rdi5rx"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
55,yes,jab,lead_side_throw_muay_thai_kick_xbs2y,jab,lead_side_throw_muay_thai_kick_xbs2y,jab__lead_side_throw_muay_thai_kick_xbs2y,jab,https://www.youtube.com/watch?v=XbS2y-4mMVI,How to throw a perfect muay thai kick 🥊 #shorts,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=XbS2y-4mMVI"" --record-reference ""jab__lead_side_throw_muay_thai_kick_xbs2y"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
57,yes,jab,front_you_can_slip_cross_tqtezo,jab,front_you_can_slip_cross_tqtezo,jab__front_you_can_slip_cross_tqtezo,jab,https://www.youtube.com/watch?v=TqteZOax5fU,You CAN slip the jab cross 🤷‍♂️,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=TqteZOax5fU"" --record-reference ""jab__front_you_can_slip_cross_tqtezo"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
58,yes,jab,front_can_you_dodge_punch_q2hibs,jab,front_can_you_dodge_punch_q2hibs,jab__front_can_you_dodge_punch_q2hibs,jab,https://www.youtube.com/watch?v=Q2HiBSGb-sE,Can You Dodge This Punch?,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=Q2HiBSGb-sE"" --record-reference ""jab__front_can_you_dodge_punch_q2hibs"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
59,yes,jab,front_lessons_floyd_mayweather_l_mv_cxy,jab,front_lessons_floyd_mayweather_l_mv_cxy,jab__front_lessons_floyd_mayweather_l_mv_cxy,jab,https://www.youtube.com/watch?v=mV-CxYE90V0,Boxing Lessons With Floyd Mayweather l Basics Of Boxing,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=mV-CxYE90V0"" --record-reference ""jab__front_lessons_floyd_mayweather_l_mv_cxy"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
61,yes,jab,lead_side_6_effective_footwork_drills_urfr2v,jab,lead_side_6_effective_footwork_drills_urfr2v,jab__lead_side_6_effective_footwork_drills_urfr2v,jab,https://www.youtube.com/watch?v=URfr2V-mVDw,6 Effective Boxing Footwork Drills For Beginners,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=URfr2V-mVDw"" --record-reference ""jab__lead_side_6_effective_footwork_drills_urfr2v"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
