technique,angle,stance,quality,keep,segment_start_s,segment_end_s,notes,video_id,url,title,channel_title,channel_id,published_at,duration_iso8601,duration_seconds,definition,caption,view_count,like_count,comment_count,query_hit,tags
jab,,,,no,,,,dmksoJc2hJg,https://www.youtube.com/watch?v=dmksoJc2hJg,Teaching details in the footwork ✍🏾 #shorts,ChrisJohnsonHoops,UCSWVIwg0PgMx5xTNHKVvUsQ,2021-05-17T10:00:24Z,PT18S,18,hd,false,6729426,169808,1129,jab form slow motion,
jab,,,,yes,,,,Jq4--rtLBPs,https://www.youtube.com/watch?v=Jq4--rtLBPs,Boxing Lessons With Floyd Mayweather #Shorts,FightCamp,UCJ6J1r5u8CFsbyVZ03A6IaQ,2022-04-12T16:30:07Z,PT1M,60,hd,false,6399794,476824,6289,boxing jab tutorial|how to throw a jab|proper jab mechanics,floyd mayweather|floyd mayweather boxing training|floyd mayweather boxing techniques|floyd mayweather boxing highlights|floyd mayweather boxing lesson|boxing|boxing techniques|boxing lessons|jab|cross|hook|upper cut|basic boxing combos|boxing combos for beginners|fundamentals of boxing|boxing training|how to box like floyd mayweather|floyd mayweather vs logan paul|floyd mayweather counter punches|floyd mayweather defense training
jab,,,,yes,,,,3u6lojo40a8,https://www.youtube.com/watch?v=3u6lojo40a8,Learn This EASY Boxing Combo For BEGINNERS,Ekayy Boxing,UC4or62_-jM7Z-HNfeR6NCZQ,2023-06-14T16:40:18Z,PT16S,16,hd,false,5121486,179252,568,boxing jab tutorial,
jab,,,,yes,,,,IatBcuQ0OhA,https://www.youtube.com/watch?v=IatBcuQ0OhA,This song tells the truth 😔😥||Doraemon theme song||&quot;Jab ham bade ho jayenge&quot;||#Doraemonthemesongedit,VerseVibes_Editz,UCPe3g0Mbjrw9x_-3RwWcIBg,2024-05-30T08:14:02Z,PT24S,24,hd,false,4949698,328288,3859,jab form slow motion,
jab,,,,no,,,,IlbwrF6un8E,https://www.youtube.com/watch?v=IlbwrF6un8E,How to Jump Serve Tutorial 🏐🔥,David Seybering,UCncy6AElVSiSCpYERNE1t1A,2021-09-15T23:30:00Z,PT17S,17,hd,false,4923627,238360,278,jab form slow motion,
jab,,,,yes,,,,udo0RzY-9Cg,https://www.youtube.com/watch?v=udo0RzY-9Cg,How To Throw A Perfect Punch,BuzzFeed Multiplayer,UCBUVGPsJzc1U8SECMgBaMFw,2014-10-24T01:20:42Z,PT1M43S,103,hd,false,4715736,72076,2399,how to throw a jab,epic|tae kwondo|perfect human|technique|BuzzFeed Science|buzzfeed|Facts|speed|blue|diplomacy|jackie chan|punch|martial arts|amazing|video|boxing|crazy|perfect|slow-motion|hand wraps
jab,,,,yes,,,,cQOMIiECOjk,https://www.youtube.com/watch?v=cQOMIiECOjk,Jab Cross Hook Uppercut Basic Punching Speed #viral #martialartslife #boxing,Muhammad Usman,UC1SeGx9u8X-X9wsuRdnAZ4A,2024-01-26T10:22:43Z,PT10S,10,hd,false,4484514,88797,114,boxing jab tutorial|jab form slow motion|proper jab mechanics,
jab,,,,no,,,,2AopA8XXMDw,https://www.youtube.com/watch?v=2AopA8XXMDw,Dumbbell Bench Press Mistake (KILLING GAINS!),Andrew Kwong (DeltaBolic),UCerweoBkwQOb_zwx3NfUD1g,2022-02-10T16:23:08Z,PT13S,13,hd,false,4384160,69171,181,jab form slow motion,
jab,,,,yes,,,,frX41U80vLU,https://www.youtube.com/watch?v=frX41U80vLU,3 Beginner Boxing Footwork Drills 👊🏼,Ex-Fitness,UCEfWjRB2mcFTP3ySIROnzmQ,2024-04-09T04:36:24Z,PT10S,10,hd,false,4297221,90542,119,boxing jab tutorial,
jab,,,,yes,,,,CG1oqBm2Yjw,https://www.youtube.com/watch?v=CG1oqBm2Yjw,“Right and Wrong” Boxing Techniques,Andrii Khotin,UCm1dm5st6Jpi-KXrYptEhbQ,2024-12-10T18:00:15Z,PT16S,16,hd,false,4202048,78938,296,boxing jab tutorial,
jab,,,,yes,,,,0j46IiKNUMs,https://www.youtube.com/watch?v=0j46IiKNUMs,Work your JAB-CROSS like Deontay Wilder… 🥊,FTC Boxing,UCfkgYR8M49wFbBPZdqxIpLg,2023-04-20T02:46:12Z,PT14S,14,hd,false,4154654,85397,5121,jab form slow motion|proper jab mechanics,deontay wilder training|deontay wilder padwork|deontay wilder pad work|deontay wilder mittwork|deontay wilder mitt work|deontay wilder pads|deontay wilder boxing coach|deontay wilder boxing trainer|deontay wilder windmill|deontay wilder boxing technique|deontay wilder training camp|deontay wilder charlie zelenoff|deontay wilder knockout|deontay wilder knockouts|deontay wilder ko|deontay wilder highlight|deontay wilder highlights
jab,,,,yes,,,,zRBL7ISpYGk,https://www.youtube.com/watch?v=zRBL7ISpYGk,Learn This Deadly Boxing Combo🥊💥,Ekayy Boxing,UC4or62_-jM7Z-HNfeR6NCZQ,2023-08-22T13:12:01Z,PT16S,16,hd,false,4042093,102083,357,boxing jab tutorial|how to throw a jab|proper jab mechanics,
jab,,,,yes,,,,f-wTOQw5oi4,https://www.youtube.com/watch?v=f-wTOQw5oi4,The Jab Is Not A Push To The Front Leg. It’s a turn of the CORE and a DROP OF THE HIP. #boxing #jab,World Class Boxing Channel,UCFd-tIEZTYhdR3lWCQ7inyg,2025-04-29T16:55:07Z,PT54S,54,hd,false,3898674,121673,1817,proper jab mechanics,
jab,,,,yes,,,,K8lD-48xhWI,https://www.youtube.com/watch?v=K8lD-48xhWI,The REALEST guide to throwing kicks #muaythai #mma #fighting,Chris Jereza,UCxuP9kRpL9pcaGZK2M8gvIQ,2025-01-28T13:56:29Z,PT32S,32,hd,false,3859984,264987,2248,muay thai jab technique,
jab,,,,yes,,,,qkbV8GRnsZ0,https://www.youtube.com/watch?v=qkbV8GRnsZ0,Bruce Lee demonstrating Kung Fu strikes 🥋,Fighting Centre,UCpshxsDVirv_tuyQmiKfDjA,2022-08-14T15:07:25Z,PT26S,26,hd,false,3858286,291202,3995,jab form slow motion,Bruce Lee|Kung fu|Bruce Lee shorts|Shorts|YouTube shorts|Boxing shorts|MMA|Martial arts|Jeet kune do|Karate|Boxing|UFC
jab,,,,no,,,,RiW8eOy7P08,https://www.youtube.com/watch?v=RiW8eOy7P08,MICHAEL JORDAN MID FADE BREAKDOWN #basketball,Keith Poitier Performance,UCOH5976-B62OqOOpC4rkGzQ,2023-06-17T18:49:26Z,PT38S,38,hd,false,3683825,168351,617,jab form slow motion,
jab,,,,yes,,,,8UOeuH7v8_g,https://www.youtube.com/watch?v=8UOeuH7v8_g,HOW TO THROW HOOKS EFFECTIVELY!,Luxury Grindset,UCYVQKALqr23iwNNwGhIX32Q,2022-12-02T22:51:36Z,PT23S,23,hd,false,3647735,178218,893,boxing jab tutorial|how to throw a jab|jab form slow motion|proper jab mechanics,#shorts #youtubeshorts #motivation #inspiration #boxing #kickboxing
jab,,,,no,,,,O3fjksDgQVU,https://www.youtube.com/watch?v=O3fjksDgQVU,Leg Spin in Slo Mo #Cricket #LegSpin #bigbash,Brisbane Heat,UCBmBVN9nyD1vLKomLKGt6LQ,2023-01-14T01:13:57Z,PT11S,11,hd,false,3586288,83909,0,jab form slow motion,
jab,,,,no,,,,aN_uD98UaF0,https://www.youtube.com/watch?v=aN_uD98UaF0,Silver Bullet Tutorial｜Cobra Kai,Karate Dojo waKu,UCbmtRTG0IPSGwWl5iKaRxWw,2022-10-07T14:00:03Z,PT15S,15,hd,false,3552012,95980,827,jab form slow motion,karate|shotokan|karate shotokan|shotokan karate|karate sensei|karate tutorial|karate how to|karate dojo waku|yusuke nagano|sensei seth|karate nerd|jesse enkamp|kumite|karate kid|cobra kai|cobra kai season 5|cobra kai season 5 spoilers|cobra kai 5|cobra kai season 5 react|cobra kai season 5 reaction
jab,,,,yes,,,,A1z-HTSNHJE,https://www.youtube.com/watch?v=A1z-HTSNHJE,How to Punch Really Hard in a Boxing Fight,Tony Jeffries,UCT_8YwHmACxpUootXe7yKjA,2024-02-15T16:19:52Z,PT47S,47,hd,false,3544807,215553,987,boxing jab tutorial,how to punch hard in boxing|how to punch harder boxing|how to punch hard|how to punch harder|punch hard in boxing|punch hard|how to punch in boxing|how to punch harder in boxing|boxing techniques to punch harder|boxing techniques|boxing tips|boxing punch techniques|boxing punch tips|technique to punch hard|punch harder in boxing|punching power|how to increase punching power|punching power technique|how to punch|punch harder
jab,,,,yes,,,,nq49Zw4pE1Y,https://www.youtube.com/watch?v=nq49Zw4pE1Y,How to Jab! Pull don&#39;t Push #boxingtraining #boxingdrills #boxingshorts #boxing,The Boxing Training Network,UCU08NMLH6pFrzjCHV-zhmSg,2023-03-20T20:32:11Z,PT16S,16,hd,false,3289549,126877,1472,boxing jab tutorial|how to throw a jab|jab form slow motion|muay thai jab technique|proper jab mechanics,boxing training|boxing lessons|boxing at home|how to jab boxing|basic boxing training|boxing training for beginners
jab,,,,no,,,,JwDYMxcf2vE,https://www.youtube.com/watch?v=JwDYMxcf2vE,How to hold and shoot a basketball❗️,Ryan Razooky (R2BBALL),UC-SAFHahv5Nj_O_7keuJNEA,2022-10-18T15:54:24Z,PT12S,12,hd,false,3153773,65363,339,jab form slow motion,
jab,,,,no,,,,xnX6X0PCD1o,https://www.youtube.com/watch?v=xnX6X0PCD1o,volleyball training Spike🏐🔥,Best VolleyBall,UCQ5jPVWYK8XZMbMnRGc8-Ig,2021-05-10T10:16:36Z,PT10S,10,hd,false,3027707,79168,173,jab form slow motion,Fédération Internationale de Volleyball|Premier Volleyball League|European Volleyball Confederation|Asian Volleyball Confederation|CEV Champions League|BVA Cup|Men's Volleyball Thailand League|V-League|Croatian 1A Volleyball League|Turkish Men's Volleyball League|FIVB Volleyball Men's World Championship|Tunisian Men's Volleyball League|CEV Challenge Cup|Russian Volleyball Super League|FIVB Volleyball Men's Club World Championship|Deutsche Volleyball-Bundesliga
jab,,,,no,,,,4kuIQMA-xLc,https://www.youtube.com/watch?v=4kuIQMA-xLc,FIX Your Jump Shot Instantly With This Tip! 🏀 #shorts,ILoveBasketballTV,UCgP1mu1UXba9r2owhCHo--g,2022-09-02T21:34:00Z,PT27S,27,hd,false,3015997,138019,256,jab form slow motion,basketball|nba|shooting a basketball|three pointer|jumpshot|fadeaway|basketball tips and tricks|how to shoot a basketball|adding range in basketball|shooting tips|nba moves|nba basketball moves|nba shooting|ballislife|overtime|Steph curry|Steph Curry shooting|splash bros|basketball motivation|nba workout
jab,,,,no,,,,oN4gSSG0M9Q,https://www.youtube.com/watch?v=oN4gSSG0M9Q,Webster ( Suicide) Tutorial in 4- steps - easy flips every,Bimal Rana,UC0AALJ9SyFy_zocizxmfKSg,2023-03-11T11:30:14Z,PT22S,22,hd,false,2401042,62066,177,jab form slow motion,
jab,,,,yes,,,,saEhfu_h3N8,https://www.youtube.com/watch?v=saEhfu_h3N8,The 6 Basic Punches That Everyone Needs To Know 👊,Budo Boxing,UCiwVq8GHL__Z1Sqw4v_uo7g,2023-06-09T10:24:22Z,PT12S,12,hd,false,2390269,40058,77,boxing jab tutorial,how to punch|martial arts|punch|boxing
jab,,,,yes,,,,k0UCflEVhB4,https://www.youtube.com/watch?v=k0UCflEVhB4,The inside slip 🔥😮‍💨 #boxing #tutorial #boxeo #boxingtraining #boxers #amateurboxing #viral,Thoseboxingbrothers,UCAUyg0AeCxiKI9gPqniA52Q,2023-04-19T17:21:54Z,PT28S,28,hd,false,2316961,126002,588,boxing jab tutorial,
jab,,,,no,,,,sq4Avpv5LAQ,https://www.youtube.com/watch?v=sq4Avpv5LAQ,How Normal Basketball Players Shoot…,Dr. Dish Basketball,UC_gC-U2kO9laGuRaC4KM6WQ,2022-12-30T01:00:16Z,PT18S,18,hd,false,2299804,56975,405,jab form slow motion,
jab,,,,no,,,,jtKYADDxqVs,https://www.youtube.com/watch?v=jtKYADDxqVs,Minato’s speed… 😳🥵 #narutoshippuden #shorts,CHROME FX,UC92zM1widoMlQhdIjgD5c8g,2023-01-11T01:01:30Z,PT21S,21,hd,false,2290998,110468,1102,jab form slow motion,Naruto|Jujitsu kaisan|Minato|Minato shorts|Reanimated shorts|One peice|Chainsaw man|Dragon ball z|Anime|Sasuke|Naruto vs Sasuke|Shorts|Anime shorts|Naruto shorts|One peice shorts|Edit|CapCut edit|After effects|Reanimated Itachi|Drawing
jab,,,,no,,,,Z-lLzlFExmI,https://www.youtube.com/watch?v=Z-lLzlFExmI,Long Jump Technique || Hybrid (Hang - Hitch Kick) #trackandfield #longjump,Jumpers Junction,UCFvN0LzDvu1v6wvx6FxTc-w,2022-07-02T00:46:28Z,PT15S,15,hd,false,2108366,33124,56,jab form slow motion,
jab,,,,yes,,,,HSCo5VZKHgY,https://www.youtube.com/watch?v=HSCo5VZKHgY,This #1 tip will improve your Jab ! ❗️,Fight Health TV ,UCyIoT-RWu1oYiVoJSLQ37SQ,2024-03-30T01:36:42Z,PT25S,25,hd,false,2057598,92723,1104,boxing jab tutorial|how to throw a jab|jab form slow motion|muay thai jab technique|proper jab mechanics,
jab,,,,yes,,,,IOQ09-FhFVU,https://www.youtube.com/watch?v=IOQ09-FhFVU,Canelo’s Perfect Punch,Fight Mythos,UC9ekmjWEOkTvInHzfii9yUg,2024-09-05T06:27:57Z,PT21S,21,hd,false,2017109,89635,1211,boxing jab tutorial|proper jab mechanics,
jab,,,,yes,,,,yZ0D2Qp8hX0,https://www.youtube.com/watch?v=yZ0D2Qp8hX0,Basic boxing combo 1-2-3 roll RH-3-2-roll LH-2-3 #boxingtips #boxing,Joey Ferrara,UCo8UeMKlUH7dbbUfQ-c4C1w,2023-10-09T10:12:15Z,PT16S,16,hd,false,2012354,43629,209,boxing jab tutorial,
jab,,,,yes,,,,SwTR-wVHZ1c,https://www.youtube.com/watch?v=SwTR-wVHZ1c,How to Master the Jab Like a Pro Boxer!,THE ARENA,UCf9OzX2aA7GXfukcjP32KZw,2025-07-23T13:00:55Z,PT30S,30,hd,false,1999418,69096,767,boxing jab tutorial|how to throw a jab|jab form slow motion|muay thai jab technique|proper jab mechanics,how to jab in boxing|how to punch|how to throw the perfect jab|boxing punches|how to throw jab|boxing techniques|boxing jab drills|jab|boxing workout|boxing jab|how to box|boxing technique|how to jab boxing|boxing tutorial|jab boxing|boxing gym san diego|the arena boxing|san diego boxing|the arena
jab,,,,yes,,,,QMxN1BSbTJU,https://www.youtube.com/watch?v=QMxN1BSbTJU,How to Throw a Punch in a Fight,Tony Jeffries,UCT_8YwHmACxpUootXe7yKjA,2022-02-01T16:27:41Z,PT3M54S,234,hd,false,1990866,73227,1444,how to throw a jab,how to punch|how to throw a punch|punch technique|how to punch correctly|how to punch properly|how to box|how to fight|how to punch harder|boxing training|boxing tips|boxing techniques|punch techniques|how to punch stronger|how to punch faster|punching technique|punching in fight|how to punch in fight|boxing basics|tony jeffries|how to punch harder and faster
jab,,,,no,,,,SelmFJJfIIo,https://www.youtube.com/watch?v=SelmFJJfIIo,6 Strike rotation options against leg spin #Shorts,CoachCricXI - Extra,UCbJf46FC0GJfoyaTS8AIAJg,2022-02-14T14:05:23Z,PT14S,14,hd,false,1836515,42773,84,jab form slow motion,How to play leg spin|Batting options against leg spin|Tips on how to play leg spin|Sweeping options against leg spin|How to play a sweep shot|How to play a slog sweep shot|How to play a reverse sweep shot|Batting drills|Batting skills|Batting tips|Batting techniques|Cricket coaching|Online cricket coaching|cricket drills|Cricket skills|Coachcric|CCXI|Cricket USA|Cricket England|Cricket Australia
jab,,,,no,,,,Uor44wJBeJw,https://www.youtube.com/watch?v=Uor44wJBeJw,Master of moving in the BLOCK 👐#volleyball #shorts #beginners,Volleyball Mastery,UCgS1yz9A1N5dahg91_dUVzQ,2023-03-01T17:15:01Z,PT11S,11,hd,false,1834953,43411,47,jab form slow motion,
jab,,,,no,,,,eZ18wqZUxTc,https://www.youtube.com/watch?v=eZ18wqZUxTc,SPIN A PEN Around Your Thumb in 2 EASY Steps 👍,Ryzing Spins,UCe2DZnQOZlsvT5Dv_njMb6A,2023-01-17T22:00:15Z,PT13S,13,hd,false,1818882,23610,364,jab form slow motion,thumb around pen spinning|penspinning thumb around|how to do the thumb around pen trick|thumb spin pen trick|pen trick thumb around|pencil spinning thumb around|pen spinning tutorial|thumb around pen spinning tutorial|how to pen spin|penspinning tricks|how to spin a pen in your hand|how to spin a pencil|how to spin a pen|beginner pen spinning tricks
jab,,,,yes,,,,rdi5rX_rd58,https://www.youtube.com/watch?v=rdi5rX_rd58,How to Shadow Box,Pierre Dalati,UC8Av1tO-ha143nNYzxmf1Fg,2025-03-07T19:18:04Z,PT50S,50,hd,false,1683559,102722,334,boxing jab tutorial,
jab,,,,yes,,,,XbS2y-4mMVI,https://www.youtube.com/watch?v=XbS2y-4mMVI,How to throw a perfect muay thai kick 🥊 #shorts,"Sean ""Muay Thai Guy"" Fagan",UCpRyzlMgSv7_9eMhq-l3DAw,2023-01-10T14:00:22Z,PT16S,16,hd,false,1611649,50102,257,jab form slow motion,muay thai kick|how to switch kick muay thai|muay thai switch kick|muay thai roundhouse kick|muay thai heavy bag workout|heavy bag workout for muay thai|muay thai body kick|muay thai workout|muay thai roundhouse kick technique|roundhouse kick|muay thai kicking techniques|muay thai roundhouse|how to throw a roundhouse kick|how to roundhouse kick muay thai|roundhouse kick muay thai|how to improve muay thai kicks|how to kick in muay thai|how to muay thai kick
jab,,,,no,,,,6ZMQ6FITDl8,https://www.youtube.com/watch?v=6ZMQ6FITDl8,Amazing Things In Slow Motion….😳 @Starr02  #shorts #shortsfeed,StarFireShorts,UC1qi29JIh37TEbl5Bn-m_zw,2023-05-06T10:30:02Z,PT21S,21,hd,false,1595201,65706,323,jab form slow motion,Amazing Things In Slow Motion….😳 @Starr02  #shorts #shortsfeed|ItsHeidiWong|kurlyheadbarii|kurlyheadmarr|MrBeast2|CoryxKenshin|MrBallen|samandcolby|Starr02|Scary|Videos|Tiktok|Shorts|Youtube|Sml|Scary videos|Scary tiktok|Shorts feed|Shorts video
jab,,,,yes,,,,TqteZOax5fU,https://www.youtube.com/watch?v=TqteZOax5fU,You CAN slip the jab cross 🤷‍♂️,Coach Micah B.,UCF667-i2DOrBFCnmp6uzdcw,2025-03-28T21:25:28Z,PT15S,15,hd,false,1577137,40213,741,boxing jab tutorial|how to throw a jab|jab form slow motion|muay thai jab technique|proper jab mechanics,
jab,,,,yes,,,,Q2HiBSGb-sE,https://www.youtube.com/watch?v=Q2HiBSGb-sE,Can You Dodge This Punch?,Edgy Vigor Boxing,UCtp4hoX3SE-fOYJ1hDyjtLA,2023-04-20T23:32:00Z,PT15S,15,hd,false,1515613,26777,2325,boxing jab tutorial|proper jab mechanics,
jab,,,,yes,,,,mV-CxYE90V0,https://www.youtube.com/watch?v=mV-CxYE90V0,Boxing Lessons With Floyd Mayweather l Basics Of Boxing,FightCamp,UCJ6J1r5u8CFsbyVZ03A6IaQ,2022-02-11T05:30:31Z,PT1M24S,84,hd,false,1507903,45752,1712,boxing jab tutorial|proper jab mechanics,floyd mayweather|floyd mayweather boxing training|floyd mayweather boxing techniques|floyd mayweather boxing highlights|floyd mayweather boxing lesson|boxing|boxing techniques|boxing lessons|jab|cross|hook|upper cut|basic boxing combos|boxing combos for beginners|fundamentals of boxing|boxing training|how to box like floyd mayweather|floyd mayweather vs logan paul|floyd mayweather counter punches|floyd mayweather defense training
jab,,,,no,,,,Sh5ycq0buBw,https://www.youtube.com/watch?v=Sh5ycq0buBw,How Does Dental Braces Work,Dr Wealz,UCbvHC7HP2hJ4zcIVfelTtZg,2022-10-04T03:56:50Z,PT24S,24,hd,true,1492773,21947,138,jab form slow motion,How Does Dental Braces Work|Orthodontics (Field Of Study)|orthodontist|3D Video|braces|Dentistry (Industry)|Dentist (Profession)|dentistry 3D|Dentist A Coruna|orthodontic before and after|Science Insider|human|human body|body|body science|human body science|dentistry|teeth|teeth science|dental
jab,,,,yes,,,,URfr2V-mVDw,https://www.youtube.com/watch?v=URfr2V-mVDw,6 Effective Boxing Footwork Drills For Beginners,The Jassa,UCaQyni5wEphMf-LCVBemBMg,2023-12-02T11:30:25Z,PT20S,20,hd,false,1461128,55129,100,boxing jab tutorial,
jab,,,,yes,,,,kzzZcyUFyfk,https://www.youtube.com/watch?v=kzzZcyUFyfk,How to do a proper jab by Benny Urquidez,World Martial Arts Information Center,UC339N27vaLUjNr7wFwd7eUg,2016-03-11T00:07:11Z,PT3M7S,187,hd,false,1453712,48276,2434,how to throw a jab,Benny Urquidez
jab,,,,yes,,,,FnJ58s38h6E,https://www.youtube.com/watch?v=FnJ58s38h6E,Genius way to Punish the Jab 🥊🧠 #boxing,Nansend Sports,UCTQVmgNH7HvXTUCNg3pCmfw,2025-09-12T20:29:54Z,PT40S,40,hd,false,1428640,41848,330,proper jab mechanics,
jab,,,,yes,,,,56HGBUTicnA,https://www.youtube.com/watch?v=56HGBUTicnA,How to Throw the Perfect Punch #shorts,Tony Jeffries,UCT_8YwHmACxpUootXe7yKjA,2023-03-07T16:32:47Z,PT15S,15,hd,false,1334258,29104,198,boxing jab tutorial|how to throw a jab|proper jab mechanics,how to punch|boxing training|how to throw the best punch|best punch|best punch to learn|straight right hand boxing|straight punch|power punch|boxing techniques|how to box|how to throw a punch|how to punch a punching bag|how to punch correctly in boxing|boxing punches|boxing tips|boxing tips for beginners|how to throw straight right hand punch|how to punch in boxing|how to throw a power punch
jab,,,,no,,,,li3SwwMEPh4,https://www.youtube.com/watch?v=li3SwwMEPh4,Volleyball setting tips🏐 #volleyball #volley #volleyballworld #spike #shorts,VolleyVlogs,UCfp7Cr0ohdb84i435cxSwAQ,2023-03-08T00:40:08Z,PT16S,16,hd,false,1332853,17658,13,jab form slow motion,
