technique,angle,video_id,url,title,channel_title,channel_id,published_at,duration_iso8601,duration_seconds,definition,caption,view_count,like_count,comment_count,query_hit,tags
jab,left45,sq4Avpv5LAQ,https://www.youtube.com/watch?v=sq4Avpv5LAQ,How Normal Basketball Players Shoot…,Dr. Dish Basketball,UC_gC-U2kO9laGuRaC4KM6WQ,2022-12-30T01:00:16Z,PT18S,18,hd,false,2314409,57084,405,jab technique left 45 degree view view,
jab,left45,m7LGnUDHDR4,https://www.youtube.com/watch?v=m7LGnUDHDR4,This CHANGED my backswing forever! 🔥🔥 #golf #golfswing #golfcoach #golftips,Golfslump,UCq9ADj3AFwpvVuMrc3CvPiw,2022-07-15T10:47:02Z,PT27S,27,hd,false,2312150,33299,302,jab technique left 45 degree view view,
jab,left45,b6W9UotGsz8,https://www.youtube.com/watch?v=b6W9UotGsz8,Easy 45 degree ( tips ),Tool_Tips,UCGLDtG2tl0uG8P0eNstbLUA,2021-03-05T08:27:18Z,PT40S,40,hd,false,1625980,27074,166,jab technique left 45 degree view view,how to|woodworking tips|miter saw|wood working|woodworking projects
jab,left45,XbS2y-4mMVI,https://www.youtube.com/watch?v=XbS2y-4mMVI,How to throw a perfect muay thai kick 🥊 #shorts,"Sean ""Muay Thai Guy"" Fagan",UCpRyzlMgSv7_9eMhq-l3DAw,2023-01-10T14:00:22Z,PT16S,16,hd,false,1618806,50193,258,boxing jab form slow motion left 45 degree view,muay thai kick|how to switch kick muay thai|muay thai switch kick|muay thai roundhouse kick|muay thai heavy bag workout|heavy bag workout for muay thai|muay thai body kick|muay thai workout|muay thai roundhouse kick technique|roundhouse kick|muay thai kicking techniques|muay thai roundhouse|how to throw a roundhouse kick|how to roundhouse kick muay thai|roundhouse kick muay thai|how to improve muay thai kicks|how to kick in muay thai|how to muay thai kick
jab,left45,G0STp-E2i6Q,https://www.youtube.com/watch?v=G0STp-E2i6Q,5 Boxing Footwork techniques you probably didn’t know #boxing #boxeo #footwork #boxingfootwork,DTBXING,UCPXTZAV_Bmw9xqz3Mp6m7dA,2024-06-05T10:13:59Z,PT18S,18,hd,false,1098722,70595,446,boxing jab form slow motion left 45 degree view|boxing jab tutorial left 45 degree view|how to throw a jab left 45 degree view|jab technique left 45 degree view view,
jab,left45,Xt3IEB3Ses8,https://www.youtube.com/watch?v=Xt3IEB3Ses8,Master the Pivot – Pro Footwork for Better Angles &amp; Defense #BoxingFootwork #PivotBoxing,HIEN BOXING OFFICIAL,UCy8aYGy1jpcmK3a2ASfDDTw,2025-04-01T09:00:29Z,PT12S,12,hd,false,1088845,21278,75,boxing jab tutorial left 45 degree view|jab technique left 45 degree view view,Boxing pivot technique|2.	Footwork pivot drills|3.	Improve boxing movement|4.	Boxing footwork tutorial|5.	Boxing defensive footwork|6.	How to pivot in boxing|7.	Boxing training at home|8.	Boxing skills for beginners|9.	Boxing angles and movement|10.	Pro boxing footwork techniques
jab,left45,D-E0cdLXFXI,https://www.youtube.com/watch?v=D-E0cdLXFXI,Boxing Footwork: How to Pivot #boxing #boxingtraining #boxingdrills,Day One Martial Arts,UCelU56gGGJ8RBK34-DW0ycA,2023-02-05T12:01:36Z,PT11S,11,hd,false,984621,22074,73,boxing jab form slow motion left 45 degree view|boxing jab tutorial left 45 degree view|how to throw a jab left 45 degree view|jab technique left 45 degree view view|proper jab mechanics left 45 degree view,
jab,left45,e2S6-gwR0es,https://www.youtube.com/watch?v=e2S6-gwR0es,Your Boxing Stance is Wrong,Tony Jeffries,UCT_8YwHmACxpUootXe7yKjA,2021-12-26T17:12:14Z,PT1M45S,105,hd,false,963422,19869,683,how to throw a jab left 45 degree view,boxing stance|boxing stance and guard|boxing stance tutorial|boxing stance mistakes|styles in boxing|stances in boxing|boxing styles|boxing stances|boxing guard|tony jeffries|boxing guards|boxing defense|boxing defense tips|boxing defense drill|boxing style|defense mistakes in boxing|defense drills for boxing|boxing training|beginner boxing mistakes|boxing basics
jab,left45,wbD2nUawj0c,https://www.youtube.com/watch?v=wbD2nUawj0c,How to Pivot in Boxing FEETWORK #boxingtraining #boxing #boxingdrills #boxinglife,The Boxing Training Network,UCU08NMLH6pFrzjCHV-zhmSg,2023-03-17T14:51:01Z,PT16S,16,hd,false,810549,16557,110,boxing jab form slow motion left 45 degree view|boxing jab tutorial left 45 degree view|how to throw a jab left 45 degree view|jab technique left 45 degree view view,
jab,left45,hNclexRmDsY,https://www.youtube.com/watch?v=hNclexRmDsY,How to Pivot in Boxing,Tony Jeffries,UCT_8YwHmACxpUootXe7yKjA,2020-09-05T15:07:38Z,PT6M21S,381,hd,true,744766,28255,443,how to throw a jab left 45 degree view,How to pivot in boxing|pivot|boxing pivot|How to pivot in boxing|how to pivot to the right in boxing|boxing angles|boxing pivot footwork|boxing for beginners|boxing footwork|boxing|boxing tutorial|footwork|proper footwork|boxing tutorial for beginners|boxing footwork drills
jab,left45,u7S6P79M0kk,https://www.youtube.com/watch?v=u7S6P79M0kk,Boxer EXPOSES Mike Tyson’s #1 Mistake when Slipping Punches,Tony Jeffries,UCT_8YwHmACxpUootXe7yKjA,2025-09-12T16:55:46Z,PT31S,31,hd,false,716252,20673,398,proper jab mechanics left 45 degree view,mike tyson|iron mike tyson|how to slip like mike tyson|mike tyson techniques|mike tyson slip|mike tyson slipping punches
jab,left45,k7GbUE-9E-w,https://www.youtube.com/watch?v=k7GbUE-9E-w,How to perfect your side kick💪,Nat Hearn,UCKMYdnHrn9DCh3SQpsZWOKA,2023-04-21T17:00:22Z,PT11S,11,hd,false,708929,0,155,boxing jab form slow motion left 45 degree view,
jab,left45,ilx8fbQgWZA,https://www.youtube.com/watch?v=ilx8fbQgWZA,How to judge the distance outside the car when pulling over? #tips #driving #manual #skills #carsoft,Drive_TV,UC0xQVEAIGFT8u1Lm0IO6Tnw,2023-10-18T10:18:00Z,PT16S,16,hd,false,480694,4669,12,jab technique left 45 degree view view,
jab,left45,_r1Cg7A7tVo,https://www.youtube.com/watch?v=_r1Cg7A7tVo,Learn the Basic Boxing Stance: Essential Tips and Techniques,HybridFitness,UCz9TubLNyoq8faX_RfJeDXg,2024-04-22T03:10:30Z,PT31S,31,hd,false,460972,12342,122,boxing jab form slow motion left 45 degree view|boxing jab tutorial left 45 degree view|how to throw a jab left 45 degree view|jab technique left 45 degree view view|proper jab mechanics left 45 degree view,boxing training|how to box|boxing techniques|boxing for beginners|boxing stance for beginners|tony jeffries|boxing stance|boxing training for beginners|boxing tips|boxing technique|boxing basics|how to punch|boxing techniques for beginners|boxing techniques combinations|boxing techniques defense|boxing for beginners at home|boxing training at home|boxing training footwork|boxing for beginners punching bag|boxing for beginners footwork
jab,left45,gjlXUSGcYTA,https://www.youtube.com/watch?v=gjlXUSGcYTA,Locate the LIVER with this simple trick 🤮,fightTIPS,UClKgO_YP3pcIVeav2g_k6hw,2023-07-19T23:28:25Z,PT46S,46,hd,false,449272,22255,217,jab technique left 45 degree view view|proper jab mechanics left 45 degree view,
jab,left45,bJl14OSVMa8,https://www.youtube.com/watch?v=bJl14OSVMa8,Backswing Rotation Guide 👇,Kerrod Gray Golf,UCo-lKZldxD7u_ZtBw9PnZXg,2024-04-30T22:03:12Z,PT23S,23,hd,false,445664,7236,78,jab technique left 45 degree view view,#GolfTips|#SwingTechnique|#golfer|#golfing|#golfswing|#golftips|#instagolf|#progolfer|#swingtips
jab,left45,MhmLkSN8xGA,https://www.youtube.com/watch?v=MhmLkSN8xGA,SLIP &amp; PIVOT 🥶 #boxing #boxingtechniques #boxingtraining #tutorial #learntobox #viral #shorts,Thoseboxingbrothers,UCAUyg0AeCxiKI9gPqniA52Q,2023-08-02T16:31:50Z,PT23S,23,hd,false,413675,17862,127,boxing jab tutorial left 45 degree view|how to throw a jab left 45 degree view|proper jab mechanics left 45 degree view,
jab,left45,C9Q9XySC3QA,https://www.youtube.com/watch?v=C9Q9XySC3QA,The L-step: the ultimate footwork manoeuvre for boxers. Level up your boxing with this movement 📈,QFC Boxing,UCiuAykAY2rwv6lAK9FpjsqA,2023-06-28T17:04:05Z,PT18S,18,hd,false,402143,18402,70,boxing jab tutorial left 45 degree view|proper jab mechanics left 45 degree view,
jab,left45,HvooLBGtGx4,https://www.youtube.com/watch?v=HvooLBGtGx4,#Mastering #90-Degree Cutting Angles #Woodworking  #tipsandtricks,Wood Apple,UC5EJ8eb9ofI8reusz4mgZ_w,2024-09-13T15:27:18Z,PT18S,18,hd,false,373490,2766,0,jab technique left 45 degree view view,Woodworking Tips|90-Degree Cutting Angles|Woodworking Techniques|Precision Cuts Woodworking|Cutting Angles in Wood|Woodworking Tools|Woodworking for Beginners|Woodworking Projects|Woodworking Angles|DIY Woodworking
jab,left45,238FDYH-lkk,https://www.youtube.com/watch?v=238FDYH-lkk,4 Footwork Drills To Change Angles Like Lomachenko 🥊,Oracle Boxing,UCRLhtHizl1rM8EMsd7Wvj8w,2025-02-19T14:21:38Z,PT16S,16,hd,false,368790,15441,44,boxing jab form slow motion left 45 degree view|boxing jab tutorial left 45 degree view|how to throw a jab left 45 degree view|jab technique left 45 degree view view|proper jab mechanics left 45 degree view,
jab,left45,UK-PybcXk7E,https://www.youtube.com/watch?v=UK-PybcXk7E,🎯 Where to Hit the Object Ball for Perfect Shots | Pool Aiming Guide #billiards #pool1 #cueball,OneCue ProTips,UCVi8ufusbs98Bqxv6PxxH0Q,2025-07-31T13:00:53Z,PT22S,22,hd,false,346232,4951,39,jab technique left 45 degree view view,pool aiming tips|where to hit object ball|billiards aiming|cue ball control|object ball contact point|pool accuracy tips|pool aiming secrets
jab,left45,wjr8EJHGGMY,https://www.youtube.com/watch?v=wjr8EJHGGMY,Master the Art of Punching with Effective Head Movement #boxingtechnique #boxingtips,Jab Force Fitness,UCgO6IuhDuUdz7KZTLApeUTg,2023-05-06T14:09:40Z,PT15S,15,hd,false,249534,4653,32,boxing jab form slow motion left 45 degree view|boxing jab tutorial left 45 degree view|how to throw a jab left 45 degree view|jab technique left 45 degree view view|proper jab mechanics left 45 degree view,Boxingtips|Boxingtraining|Boxingskills|Boxingtechniques
jab,left45,L-0MGfv3x1Y,https://www.youtube.com/watch?v=L-0MGfv3x1Y,Angle changes 📐 #boxing #boxeo #tutorial #boxingtraining #mma #viral #learntobox #shorts,Thoseboxingbrothers,UCAUyg0AeCxiKI9gPqniA52Q,2023-05-04T14:20:10Z,PT44S,44,hd,false,216724,24225,83,boxing jab tutorial left 45 degree view|how to throw a jab left 45 degree view,
jab,left45,mF2HmMVH_DQ,https://www.youtube.com/watch?v=mF2HmMVH_DQ,How to Pivot Hook in Boxing,Tony Jeffries,UCT_8YwHmACxpUootXe7yKjA,2023-10-18T15:32:51Z,PT16S,16,hd,false,211790,13262,162,boxing jab tutorial left 45 degree view|how to throw a jab left 45 degree view,pivot hook|how to pivot hook|how to pivot hook boxing|boxing pivot|how to pivot in boxing|pivot punch in boxing|pivot hook boxing|pivot hook punch
jab,left45,BIURBvKZDfc,https://www.youtube.com/watch?v=BIURBvKZDfc,Boxing basics: how to pivot and ways to use it #boxing #boxingtechnique #boxingfootwork,DTBXING,UCPXTZAV_Bmw9xqz3Mp6m7dA,2024-06-16T00:28:08Z,PT32S,32,hd,false,205743,11181,46,boxing jab form slow motion left 45 degree view|boxing jab tutorial left 45 degree view|how to throw a jab left 45 degree view|jab technique left 45 degree view view,
jab,left45,cM6sXom80_w,https://www.youtube.com/watch?v=cM6sXom80_w,Easy 45 Degree Miter Joint #howto #tutorial #shorts #carpentry #woodworking,SupeRhey Official,UCrsJMB20JVEAOhNNY-wVMyQ,2024-02-08T17:36:57Z,PT26S,26,hd,false,107172,1247,8,jab technique left 45 degree view view,#45degree|#carpenter|#carpentry|#craftsdiy|#crazybb|#diy|#gsdiymaker|#hcarpenter|#homemadediy|#howto|#ideas|#miterjoints|#podelkin|#shorts|#sokhadiy|#superheyofficial|#tagalog|#techniques|#tips|#toolstour
jab,left45,k2csGKckAC4,https://www.youtube.com/watch?v=k2csGKckAC4,Boxing basics: boxing drills for changing angles #boxing #boxingfootwork #boxingangles,DTBXING,UCPXTZAV_Bmw9xqz3Mp6m7dA,2024-06-13T22:09:18Z,PT17S,17,hd,false,100534,7192,49,boxing jab tutorial left 45 degree view,
jab,left45,OR196I4BAU8,https://www.youtube.com/watch?v=OR196I4BAU8,ULTIMATE lead uppercut set-up 🤯🔥 #tutorial #boxing #boxingtutorial #boxingtraining #learntobox,Thoseboxingbrothers,UCAUyg0AeCxiKI9gPqniA52Q,2023-05-29T17:42:15Z,PT41S,41,hd,false,64370,6797,71,boxing jab form slow motion left 45 degree view|proper jab mechanics left 45 degree view,
jab,left45,sw-XRzlIvfw,https://www.youtube.com/watch?v=sw-XRzlIvfw,Master Your Hip Rotation for Harder Punches! #boxingtraining,Jono Kirk - Boxing Narrator ,UCSM08JonLPjBpspLuvV55zQ,2025-01-12T10:10:05Z,PT16S,16,hd,false,59280,0,24,proper jab mechanics left 45 degree view,
jab,left45,xPPIGKCEq9Y,https://www.youtube.com/watch?v=xPPIGKCEq9Y,How to Pivot to the Outside #footwork #angles #mma #boxing #kickboxing #mmastriking,Shaj 'Superman' Haque,UCEG1ZUWuX6doCAWnV7KeNBw,2023-12-03T23:27:16Z,PT22S,22,hd,false,47062,1360,5,boxing jab tutorial left 45 degree view,
jab,left45,1DO3tXZZQLM,https://www.youtube.com/watch?v=1DO3tXZZQLM,Breaking Down A Boxers Fighting Stance | Rear Foot Placement,World Class Boxing Channel,UCFd-tIEZTYhdR3lWCQ7inyg,2018-09-03T02:34:51Z,PT8M53S,533,hd,false,45844,1823,100,proper jab mechanics left 45 degree view,Breaking down a boxers fighting stance|rear foot placement for a boxer|boxing footwork|footkwork mechanics for a fighter|how shoulder a boxer place his feet when fighting|Tom Yankello|Coach Joe D.|#dingding|learning how to pivot in boxing|how to develop maximum power for a punch|poer development for a boxier|the proper punching mechanics|fight tips for generating more punching power|the best balance position for boxing|how wide should my feet be in boxing|fistnfitness
jab,left45,XzmfSbnMJtI,https://www.youtube.com/watch?v=XzmfSbnMJtI,Boxing How to Guide - Right Hook to the Body,MyBoxingCoach,UCBsoiiNF96Beqbik3LSxkUA,2011-09-21T20:54:26Z,PT4M36S,276,hd,false,44848,573,70,proper jab mechanics left 45 degree view,boxing how to|how to boxing|body punch|right hook
jab,left45,BSVrp0F3ZXQ,https://www.youtube.com/watch?v=BSVrp0F3ZXQ,Proper lead foot position to stop an opponent from getting an angle. #leadfoot #boxing #angle,World Class Boxing Channel,UCFd-tIEZTYhdR3lWCQ7inyg,2022-03-14T17:07:15Z,PT1M1S,61,hd,false,39025,2371,54,proper jab mechanics left 45 degree view,
jab,left45,ffOYVPFlmJc,https://www.youtube.com/watch?v=ffOYVPFlmJc,The most predominant stance of the greatest boxers in boxing history! #Lstance #boxing,World Class Boxing Channel,UCFd-tIEZTYhdR3lWCQ7inyg,2023-06-08T16:58:02Z,PT1M,60,hd,false,30090,1815,27,proper jab mechanics left 45 degree view,
jab,left45,GasfUfXwryk,https://www.youtube.com/watch?v=GasfUfXwryk,"HOW TO PERFECT YOUR BOXING STANCE, FEET POSITION &amp; FOOTWORK 🥊 #youtubeshorts #coachfiyah",Coach Fiyah / Real Life Boxing,UCoZYz6kxjYVFEbJWshM19YQ,2023-03-01T04:42:44Z,PT41S,41,hd,false,21781,876,11,boxing jab tutorial left 45 degree view|proper jab mechanics left 45 degree view,
jab,left45,zmVrIel9uVU,https://www.youtube.com/watch?v=zmVrIel9uVU,Learn How to Throw LIVER HOOK 💥🥊 #boxing #shorts,VITERI BOXING ENGLISH,UC37RVxQGZIv8SAy7WmuydcQ,2022-06-22T16:09:48Z,PT42S,42,hd,false,15629,1061,15,how to throw a jab left 45 degree view,
jab,left45,h4vQrtKr5F0,https://www.youtube.com/watch?v=h4vQrtKr5F0,THE 45 DEGREE JAB,Ian Streetz,UCR3kscrORN-CNPX_JMsIWjg,2019-01-17T15:35:13Z,PT1M1S,61,hd,false,1625,59,6,boxing jab tutorial left 45 degree view|proper jab mechanics left 45 degree view,boxing|jab|tutorial|boxing tutorials|floyd mayweather|lomachenko|ggg|golovkin|canelo|canelo alvarez
jab,right45,w8mTuLc7zJU,https://www.youtube.com/watch?v=w8mTuLc7zJU,45 degree welding #weldingtricks #weldingtipsandtricks #welder,noris welder art,UCOBgDnQPnPIfLcl9Jjb5atw,2023-09-30T18:02:45Z,PT59S,59,hd,false,11256961,287428,2130,proper jab mechanics right 45 degree view,
jab,right45,k6-Jipxenzc,https://www.youtube.com/watch?v=k6-Jipxenzc,This Simple Thumb Trick Will Double Your Wrist Strength For Punching #muaythai #mma #fight,Glove Up,UC7pkMgqBxFsErwWwXjXq9CA,2025-04-23T12:47:07Z,PT39S,39,hd,false,10802563,170391,1449,boxing jab form slow motion right 45 degree view|how to throw a jab right 45 degree view|jab technique right 45 degree view view|proper jab mechanics right 45 degree view,joe lewis|Boxing|How to punch|How to wrap your hands|mma|Martial arts|the real bruce lee|bruce lee|boxing highlights|boxing knockouts|boxing today|how to make a fist karate|Strength For Punching|how to punch|boxing workout|how to fight|how to punch harder|kickboxing|muay thai vs kickboxing|muay thai
jab,right45,P9gjzoNJCKs,https://www.youtube.com/watch?v=P9gjzoNJCKs,Sneaky angle cutting in boxing 🪄,cocktagon,UCBehP2QmInjKFFPEU99PHig,2025-01-22T13:30:13Z,PT36S,36,hd,false,10231084,331407,1108,how to throw a jab right 45 degree view,boxing|boxeo
jab,right45,wzOCSocPGys,https://www.youtube.com/watch?v=wzOCSocPGys,How-To Boxing: Angle Shuffle,How to Boxing,UCB_U56mkxRzgfuddedVI5FQ,2019-09-16T20:56:12Z,PT15S,15,hd,false,6811030,272731,1355,boxing jab form slow motion right 45 degree view|boxing jab tutorial right 45 degree view|jab technique right 45 degree view view,boxing|how to|drills|fighting|angle shuffle|footwork|technique|How-To Angle shuffle|boxing footwork|boxing angles|boxing technique|How-to: Angle shuffle|jawknee|jawknee.v|boxing athlete|boxing fitness|fitness|athlete|workout|boxing workout
jab,right45,yl66S30Mrrg,https://www.youtube.com/watch?v=yl66S30Mrrg,Hook. Power punch. Power punch training. Boxing training.,Valentyn Trostianchuk ,UCdIHhzu19iBa2uUHgy-ZV_Q,2023-06-30T21:16:01Z,PT12S,12,hd,false,5076213,245645,1978,boxing jab tutorial right 45 degree view|how to throw a jab right 45 degree view|jab technique right 45 degree view view|proper jab mechanics right 45 degree view,
jab,right45,CG1oqBm2Yjw,https://www.youtube.com/watch?v=CG1oqBm2Yjw,“Right and Wrong” Boxing Techniques,Andrii Khotin,UCm1dm5st6Jpi-KXrYptEhbQ,2024-12-10T18:00:15Z,PT16S,16,hd,false,4226920,79175,296,boxing jab tutorial right 45 degree view|proper jab mechanics right 45 degree view,
jab,right45,K5qYd1axXuc,https://www.youtube.com/watch?v=K5qYd1axXuc,Boxing Professional REVEALS Secrets To Landing an Uppercut,Tony Jeffries,UCT_8YwHmACxpUootXe7yKjA,2025-04-05T15:58:30Z,PT42S,42,hd,false,3898659,118210,236,proper jab mechanics right 45 degree view,uppercut|boxing uppercut|how to throw uppercut|how to throw boxing uppercut|uppercut boxing
jab,right45,SVVsU7rbRrQ,https://www.youtube.com/watch?v=SVVsU7rbRrQ,Stop throwing your lead hook like a robot 🤖,fightTIPS,UClKgO_YP3pcIVeav2g_k6hw,2024-04-10T18:43:04Z,PT1M,60,hd,false,3572770,163230,2163,boxing jab form slow motion right 45 degree view|how to throw a jab right 45 degree view|proper jab mechanics right 45 degree view,
jab,right45,jQ6RlFLk2dw,https://www.youtube.com/watch?v=jQ6RlFLk2dw,How to Make a Boxing Fist ! #boxingtraining #boxing #boxeo #youtubeshort #shortsfeed,The Boxing Training Network,UCU08NMLH6pFrzjCHV-zhmSg,2023-04-18T15:51:41Z,PT50S,50,hd,false,2598005,80286,2781,how to throw a jab right 45 degree view|proper jab mechanics right 45 degree view,boxing training|boxing lesson|boxing fist|boxing for beginer|boxing at home|boxing training for beginners|boxing training at home|basic boxing training
jab,right45,sq4Avpv5LAQ,https://www.youtube.com/watch?v=sq4Avpv5LAQ,How Normal Basketball Players Shoot…,Dr. Dish Basketball,UC_gC-U2kO9laGuRaC4KM6WQ,2022-12-30T01:00:16Z,PT18S,18,hd,false,2314409,57084,405,proper jab mechanics right 45 degree view,
jab,right45,8T3sPSyTqgM,https://www.youtube.com/watch?v=8T3sPSyTqgM,Watch and learn 👀📚 How to KICK like the GOAT of Muay Thai 101 🐐  #shorts,YOKKAO,UCDfvlEBdwpcjwAaRw1m6UiA,2023-10-17T10:24:55Z,PT31S,31,hd,false,2254286,91795,616,proper jab mechanics right 45 degree view,
jab,right45,b6W9UotGsz8,https://www.youtube.com/watch?v=b6W9UotGsz8,Easy 45 degree ( tips ),Tool_Tips,UCGLDtG2tl0uG8P0eNstbLUA,2021-03-05T08:27:18Z,PT40S,40,hd,false,1625980,27074,166,jab technique right 45 degree view view,how to|woodworking tips|miter saw|wood working|woodworking projects
jab,right45,XbS2y-4mMVI,https://www.youtube.com/watch?v=XbS2y-4mMVI,How to throw a perfect muay thai kick 🥊 #shorts,"Sean ""Muay Thai Guy"" Fagan",UCpRyzlMgSv7_9eMhq-l3DAw,2023-01-10T14:00:22Z,PT16S,16,hd,false,1618806,50193,258,proper jab mechanics right 45 degree view,muay thai kick|how to switch kick muay thai|muay thai switch kick|muay thai roundhouse kick|muay thai heavy bag workout|heavy bag workout for muay thai|muay thai body kick|muay thai workout|muay thai roundhouse kick technique|roundhouse kick|muay thai kicking techniques|muay thai roundhouse|how to throw a roundhouse kick|how to roundhouse kick muay thai|roundhouse kick muay thai|how to improve muay thai kicks|how to kick in muay thai|how to muay thai kick
jab,right45,DpLIcxlOagI,https://www.youtube.com/watch?v=DpLIcxlOagI,Angle Grinder Caution !!! #Shorts,Diy Things,UCOrLhuw4w09n_Uz_RKBwdUA,2023-04-22T00:15:23Z,PT22S,22,hd,false,1447538,8106,286,proper jab mechanics right 45 degree view,Angle Grinder|diy things|diythings_dt
jab,right45,G0STp-E2i6Q,https://www.youtube.com/watch?v=G0STp-E2i6Q,5 Boxing Footwork techniques you probably didn’t know #boxing #boxeo #footwork #boxingfootwork,DTBXING,UCPXTZAV_Bmw9xqz3Mp6m7dA,2024-06-05T10:13:59Z,PT18S,18,hd,false,1098722,70595,446,boxing jab form slow motion right 45 degree view|how to throw a jab right 45 degree view|jab technique right 45 degree view view,
jab,right45,Xt3IEB3Ses8,https://www.youtube.com/watch?v=Xt3IEB3Ses8,Master the Pivot – Pro Footwork for Better Angles &amp; Defense #BoxingFootwork #PivotBoxing,HIEN BOXING OFFICIAL,UCy8aYGy1jpcmK3a2ASfDDTw,2025-04-01T09:00:29Z,PT12S,12,hd,false,1088845,21278,75,boxing jab tutorial right 45 degree view|jab technique right 45 degree view view,Boxing pivot technique|2.	Footwork pivot drills|3.	Improve boxing movement|4.	Boxing footwork tutorial|5.	Boxing defensive footwork|6.	How to pivot in boxing|7.	Boxing training at home|8.	Boxing skills for beginners|9.	Boxing angles and movement|10.	Pro boxing footwork techniques
